微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
QiO6ZBPDn,":【正片】导演大鹏×罗永浩！我这两辈子
大鹏说，自己有时候感觉像活了两辈子。第一个大鹏从小镇怀着梦想闯荡北京，走得磕磕绊绊，遍体鳞伤。那时候的他永远站在角落，站在聚光灯旁边的阴影处。他努力地采访、主持、拍戏，接各种杂活儿，拼命尝试向舞台中央靠近…… 说不清究竟是哪一天，第二个大鹏发现自己站到了聚光灯下，结果很多人都要跟他重新认识一遍，因为他们大都不记得眼前这个人，不记得其实他们早就见过面。现在的他，无论是导演还是表演，无论是产量还是质量，拿出的都是扎扎实实的成绩。无论是作为导演还是演员，他离这个行业的最高荣誉也不止一次地只有半步之遥。可他还是不能放松，他总是想起第一个大鹏。他觉得一切本该做得更好，他心里好像总是有无限的遗憾、不安，和伴随着焦虑的更高目标。我们非常非常感谢他的信任，感谢他在这个超长的访谈中几乎毫无保留地呈现给了我们两个大鹏，两个命运截然不同但同样温暖柔软真诚的大鹏。
《罗永浩的十字路口》第十四期，我们和大鹏聊聊他的两辈子。
#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口等人的共创视频",,无,"https://f.video.weibocdn.com/o0/NUut6Mj6lx08tOQBrnzW0104120HwsxT0E0g0.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200725&ssig=7kkEKEINqz&KID=unistore,video",无,2025-12-17 12:54,微博视频号,4199,1116,708
Qgn6RBmgx,【转发抽奖送出iPhone 17 Pro Max一部】“罗永浩的十字路口”之年度科技创新分享大会（2025）将于今年12月30日在上海召开。#罗永浩的科技春晚回来了##罗永浩又要开科技发布会了#  [组图共2张] 原图 ,,"https://ww2.sinaimg.cn/large/008tj0GNly1i7vbgxhsmfj30u01hcu0x.jpg,https://ww3.sinaimg.cn/large/008tj0GNly1i7vap2tg4tj30qxcn3e87.jpg",无,无,2025-12-01 12:29,微博网页版,20275,78448,18129
Qj9IGmL4c,:我来上海后租的房子，装的是大金中央空调。两百多平米的房子4室2厅加厨房，一共是7个空调￼内机。换季的时候我想清洗一下就叫了官方客服，结果来了个说每句话都会翻一次白眼的￼客服。看了一圈，说换滤网和清洗的费用是每年15000左右（大金的滤网设计使用寿命是一年，不能清洗只能更换），这个每年的费用，以我中国直播界四大天王里的老四的硬核实力，都感到很有压力 我不知道大金是不是基本都卖给了超级富豪、黑社会和贪官。我问客服这个费用大家就算买得起，怎么可能用得起？他又翻了一个大白眼说，所以可以不清洗不换滤网啊。最逗的是那个换滤网的所谓安装费，我问客服这个滤网怎么换？他在梯子上随手往上一抠就抠出来一个滤网，然后说就是这么个滤网，买新的往里一推就装上了。我说￼就这么一抠一推就收283块￼￼￼￼？他说对。￼我楞了一下，一脑门汗就下来了，我说你不会给我示范这么一下就收283块吧？他翻了个白眼说，那倒不会。嗯，￼这边有没有懂行的朋友给我们指点指点到底是怎么回事？这种费用和服务在空调行业里是常态吗？￼,,https://wx1.sinaimg.cn/large/008tj0GNgy1i8ggdpo96aj316f0thjuf.jpg,无,无,2025-12-19 19:55,微博轻享版,5453,307,907
Qj8DL61An,请教一下，家里用国产的中央空调品牌，每年让客服更换或清洗滤网，以及清洗机器的成本大概是多少？有实际经验的朋友们方便的话在这里说说？￼多谢。  ,,无,无,无,2025-12-19 17:10,微博轻享版,1302,38,266
Qj8wm7DeJ,:长达五个小时干货满满的对话节目，因为话赶话提了几句前公司，被十几家媒体做成了热搜词……￼￼“朋友圈”里贴的东西，为什么会被媒体发出来？当然是因为我当年不懂事，我大xx，跟不少可怕的媒体人加了微信……嗯，￼￼拖了很多年的事决定不再偷懒了，我要再注册一个新的微信，里面只有朋友,,无,无,无,2025-12-19 16:52,微博轻享版,2333,63,414
Qj6CbnZ7s,":12月22号，也就是下周一中午12点，我们的“科技春晚”，也就是十字路口的年度科技创新分享大会，将会准时放票，届时大家请锁定大麦App。
本次售票要求实名制，不允许转让，入场时会核对门票信息和身份信息，请随身带好购票用的身份证或其他证件。如果不确定到时候能不能来，请一定慎重购买，把机会让给有空来的朋友。
大会举办地点是，上海市徐汇区西岸国际会展中心。谢谢大家对本次大会的关注和支持，我们12月30号见！
#罗永浩的科技春晚回来了##罗永浩又要开科技发布会了##罗永浩的十字路口# 罗永浩的十字路口的微博视频",,无,"https://f.video.weibocdn.com/o0/pUVJz9vGlx08tRSfmZvi010412007TDb0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200736&ssig=sT8g3p1UCU&KID=unistore,video",无,2025-12-19 12:00,微博视频号,875,132,276
QiXbkqC1l,【音频版】导演大鹏×罗永浩！我这两辈子播客《罗永浩的十字路口》第十四期，微博音频完整版已经上线，欢迎收听。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口##微博声浪计划# #听见微博# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-12-18 12:00,微博音频,523,49,101
QiWGTnG9u,刚刚一看才知道，今年居然点了五百多杯咖啡。我一个人能喝这么多吗？回想了一下，这几百杯里一半左右是给同事们点的（当然，有些是个别同事用我的手机点的^_^）特别是最近，大家筹备年底大会很辛苦，点得特别勤。顺便问一下，你们今年点了多少杯咖啡？  原图 ,,https://wx1.sinaimg.cn/large/008xEkz6ly8i8ettt3yyxj30zi1qlnho.jpg,无,无,2025-12-18 10:45,微博  weibo.com,852,45,352
QiVUBcIez,有的弹幕确实有水平，“大鹏提起前公司的时候遗憾但是平静，老罗提起前公司的时候怒骂但是嬉笑，其实只是性格上的差异，对他们自己来说，都是自洽的”。  ,,无,无,无,2025-12-18 08:46,微博网页版,2164,74,200
QiQTFiAnD,大鹏第一次感觉到命运的齿轮在转动……#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/b0Ftpsaalx08tOWZXYVq010412009B2E0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200744&ssig=PnPIWS48TX&KID=unistore,video",无,2025-12-17 20:00,微博视频号,429,36,26
QiQvjkIj6,大鹏早年因为二十块钱结下的珍贵情谊#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/yX87l7NKlx08tOWHfZHG010412006pqS0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200745&ssig=mNCXsgQ%2FfE&KID=unistore,video",无,2025-12-17 19:00,微博视频号,191,4,17
QiQ6XmQ7G,大鹏：因为这件事，我觉得全天下的荔枝，都跟我有关系。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/3Oi1dInllx08tOWc4vWg010412005i980E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200745&ssig=O203%2FSEn%2Bm&KID=unistore,video",无,2025-12-17 18:00,微博视频号,184,6,26
QiNKPAFqg,这个问题也许过于残酷了……12 月 17 日，听听大鹏导演“不知道怎么排解”的那种失落。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/5DUJt5t3lx08tNKnE6oM010412005pAs0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200745&ssig=WqthOf%2Bc2D&KID=unistore,video",无,2025-12-17 12:00,微博视频号,252,12,68
QiMY7DOpT,到底什么事讲起来这么费尽周折？12 月 17 日，一起听听大鹏导演的“那个遗憾”。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/NDERl2qBlx08tNHUo8BO010412003AXU0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200746&ssig=F6KbKA%2F3sf&KID=unistore,video",无,2025-12-17 10:00,微博视频号,250,23,42
QiEoh3O79,这是一个既曲折离奇、又让人内心酸楚的故事。听大鹏导演讲述这段刻骨铭心的“受骗”经历。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Tigoiwnolx08tN6a6GTS01041200440r0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200746&ssig=Xyvot5QUiE&KID=unistore,video",无,2025-12-16 12:09,微博视频号,385,43,70
QiuU73gnD,这是一场远超我期待的对话。听听 @大鹏董成鹏 导演如何诚恳地、彻底不加掩饰地聊起关于他的一切。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/uhb3PPx6lx08tLuDtutO0104120034gD0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200747&ssig=zOiOGzkAtY&KID=unistore,video",无,2025-12-15 12:00,微博视频号,1493,1979,265
Qi5veDphL,十字路口年底大会还没有正式开票，如果近期看到有人售票，请大家千万不要上当受骗，欢迎大家对这种售卖假票的商贩予以举报。具体开票日期我们会第一时间公布给大家，届时我们会使用大麦 APP 作为独家票务平台，请以官方信息为准。谢谢大家。  原图 ,,https://wx1.sinaimg.cn/large/008tj0GNly1i88c1msu2gj30xi20uwy9.jpg,无,无,2025-12-12 19:20,微博网页版,745,46,180
Qi4REzK5q,":AI 革命三年了，终于有人开始尝试做 AI 手机了，结果好像没几个人讨论产品和技术，社交网络上大部分聊的都是“我靠，大厂和大厂要干起来了，过瘾，刺激...” 
我是很希望 AI 手机能尽快提上各手机大厂的议事日程的，要不然这些手机巨头都要沦为牙膏巨头了。还有，这些年不是都在吹牛x说我们的科技公司已经从抄袭硅谷的创新，发展到了向硅谷输出创新的历史阶段了吗？还等什么呢？难道 AI 手机这一轮又要跟在硅谷后面抄吗？
豆包手机虽然不成熟，但还是做了不少工作的。比如其他厂商基本都是在已有的模型上做后训练，增加一些界面数据之类的。但操作手机这种非常规的大模型应用场景其实并没有合适的基座模型供后训练，所以效果本身难有大的提升。要做好 AI 手机助手这件事，最终还是需要从基础的推理能力训起，让模型拥有理解界面场景和用户需求的完整思路。
不知道为什么（按说手机厂商也不差钱，新的技术革命带给他们的焦虑和恐慌也一样都不缺），大部分手机厂商好像对基座模型的投入都不够，或者干脆就没投。所以目前很多手机厂商的 AI 功能也就是用别家的大模型加一点提示词（好像后训练都懒得做），来“简陋地尝个鲜”的程度。
说到“封杀”，很多人以前都没有注意过各家互联网 App 的用户协议，其实为了自我保护，各家公司都是规定用户对这些 App 的账号“没有所有权，只有使用权”。这意味着你如果“不正常地通过 AI 助手使用”这些 App，他们就可以理直气壮地封你的账号，而且名义上是“保护你”。
年底的大会我可能会聊聊我所理解的 AI 手机的方案。很希望豆包手机只是一个开始，希望有越来越多的厂商尽早探索 AI 手机这条路。造福用户之余，也让那些不思进取只想着躺着挤牙膏赚钱的大厂担惊受怕，睡不着觉^_^
#罗永浩的科技春晚回来了##罗永浩又要开科技发布会了# ",,https://wx2.sinaimg.cn/large/008tj0GNly1i88984vi66j30ri2d9e81.jpg,无,无,2025-12-12 17:43,微博网页版,2040,222,412
QhTbRjFvR,【音频版】MiniMax 创始人闫俊杰×罗永浩！大山并非无法翻越播客《罗永浩的十字路口》第十三期，微博音频完整版已经上线，欢迎收听。#罗永浩与MiniMax闫俊杰聊AI终极问题# #罗永浩深度长谈播客# #罗永浩的十字路口# #微博声浪计划# #听见微博# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-12-11 12:00,微博音频,406,29,74
QhMvS2srF,":【正片】MiniMax 创始人闫俊杰×罗永浩！大山并非无法翻越
闫俊杰似乎很擅长通关。他出生在小县城，一路读到了清华博士后，又从商汤的实习生一路做到了副总裁。但这些还不够，他的敏锐、他的决心、他的抱负一直在提醒他应该走出来，参与到世界的变革中来，于是在 AI 革命到来的前一年，他成立了 AI 大模型公司 MiniMax，这个公司的名字好像也在描述着起点和终点。他希望中国的厂商可以成为引领世界的巨头，他希望 AI 能够改变每一个普通人的生活。他看起来安静沉着，可内心对竞争充满期待，期待着跟王者一决高下，期待着他亲手将少数精英的工具变为普惠大众的生产力。
《罗永浩的十字路口》第十三期，我们和 MiniMax 创始人闫俊杰聊一聊他的 AI 创业之路。#罗永浩与MiniMax闫俊杰聊AI终极问题# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频",,无,"https://f.video.weibocdn.com/o0/ruQQTPbGlx08tE02rGda0104120mzuvC0E080.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200754&ssig=JHpDx2a%2FuD&KID=unistore,video",无,2025-12-10 19:00,微博视频号,1224,210,288
QhAkRjZCB,未来 AI 还需要人类吗？听听 MiniMax 创始人闫俊杰关于通用人工智能终极问题的看法。#罗永浩与MiniMax闫俊杰聊AI终极问题# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/EYg2x3Xglx08tAlsw2UU010412002s3g0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200754&ssig=fkK48XPhI7&KID=unistore,video",无,2025-12-09 12:00,微博视频号,515,48,164
QhrH7qpy1,【转发抽奖送出iPhone 17一部】现在，很多消费者用洗脸巾时有材质焦虑，以为只要是“绵”柔巾，用了就会烂脸。这是真的吗？看完这条视频，也许就能破除这种“绵棉焦虑”。#洗脸巾#   罗永浩的十字路口的微博视频   抽奖详情  ,,无,"https://f.video.weibocdn.com/o0/8xHcVqZalx08tw19zykE01041200kY9s0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200755&ssig=3L45800Vq%2B&KID=unistore,video",无,2025-12-08 14:00,微博视频号,11032,42126,8113
Qhr6xrTsZ,看来他能在人工智能领域做到世界顶尖是有原因的……一起看看 MiniMax 创始人闫俊杰是怎样让人震撼的天才。#罗永浩与MiniMax闫俊杰聊AI终极问题# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/D8ZsiHpdlx08tAll3rJm010412002c5g0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200755&ssig=ix%2F1ji0yx%2F&KID=unistore,video",无,2025-12-08 12:30,微博视频号,421,63,84
QhqYsn51S,AI 时代，产品经理还重要吗？听 MiniMax 创始人闫俊杰给我们这个行业把把脉。#罗永浩与MiniMax闫俊杰聊AI终极问题##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/qzuCgKb0lx08tAl3sesM0104120020xz0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200756&ssig=wFS%2FgL4LfX&KID=unistore,video",无,2025-12-08 12:10,微博视频号,308,36,51
QgQICuLcC,:【看不懂就算了】 1. 我就喜欢大麦克风，怎么了？2. 可以负责地承诺你，桌子上的广告一定会越来越多，直到把我全身都埋起来只露出脸，有赞助商要求的话，脸也可以埋掉￼）￼事儿那么多就听音频版吧。3. 顺便说一下，到我这儿抱怨锤子便签开始有广告了的都是大xx，谁他妈欠你一个终身免费的软件了？         [,,"https://ww2.sinaimg.cn/large/008tj0GNgy1i7yx2a23xtj31rq0zkjyf.jpg,https://ww3.sinaimg.cn/large/008tj0GNgy1i7yx2af96hj31r80zkqgx.jpg",无,无,2025-12-04 15:52,微博轻享版,2693,304,2169
QgQjbjx5A,技术革命是谁都拦不住的，不管试图阻拦它的是各大app，还是各小app。不要说是公司，￼￼即使是各大国和各小国，也一样拦不住。豆包手机能不能成我不知道，但字节尝试走出这第一步，是非常了不起的，必须点个赞。AI 助手一定会遍地开花，我们的生活也会完全离不开它，将来的人们会记住这历史性的一天。  原图 ,,https://wx1.sinaimg.cn/large/008tj0GNgy1i7yv93q6ijj30wr0y6abx.jpg,无,无,2025-12-04 14:49,微博轻享版,3376,468,464
QgoqpgmcF,:试了几款国产 Hi-Fi解码器，结果不到一万元的某品牌，跟我当年七万多买的，享誉全球的 Chord Dave 在盲测时的表现竟然难分上下。看来继豪华汽车后，越来越多的“世界名牌”音响也要被新兴的国产音响打成“洋破烂”了。Hi-Fi 是相对小众的产品，本来是不想上年终大会的，但有几家做得实在是太争气了,,无,无,无,2025-12-01 15:50,微博网页版,1565,207,267
Qgo1cbE0A,【视频版】“罗永浩的十字路口”之年度科技创新分享大会（2025）将于今年12月30日在上海召开。#罗永浩的科技春晚回来了##罗永浩又要开科技发布会了# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/uCV4Ff8Glx08tplRq3ao01041200SHo70E010.mp4?label=mp4_hd&template=540x960.26.0&Expires=1766200782&ssig=9gStrXBA%2Fp&KID=unistore,video",无,2025-12-01 14:48,微博视频号,1745,348,307
Qg43U4zGC,【音频版】导演毕赣×罗永浩！清醒、深刻、独一无二的造梦者播客《罗永浩的十字路口》第十二期，微博音频完整版已经上线，欢迎收听。 #毕赣对谈罗永浩# #罗永浩深度长谈播客# #罗永浩的十字路口# #微博声浪计划# #听见微博# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-11-29 12:00,微博音频,976,56,153
QfXbHpcC2,毕赣谈文艺片：前面的障碍，是爬山路上的风景#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/XOZcT1cLlx08tkyJnCkE010412005Gms0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200783&ssig=t575x2YWAk&KID=unistore,video",无,2025-11-28 18:30,微博视频号,625,35,71
QfWZwqfXf,当年的毕赣导演，面对电视台的工作机会，选择了去加油站上班#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/SnqzZRxalx08tkxO34AM010412004knE0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200783&ssig=zXrdkxRyn1&KID=unistore,video",无,2025-11-28 18:00,微博视频号,377,28,42
QfWNlqeKd,在凯里，没人相信她是汤唯#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Yyd0V9vMlx08tkxEjpsk010412002Prr0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200784&ssig=o7Zo4pHkXj&KID=unistore,video",无,2025-11-28 17:30,微博视频号,511,23,72
QfWBaqaQX,毕赣导演谈：花和尚车上的电话号码#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/hSHHXY7blx08tkxvgfNe010412004HX10E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200784&ssig=jW0dcmSGpz&KID=unistore,video",无,2025-11-28 17:00,微博视频号,307,7,47
QfV1M1lqf,":【正片】导演毕赣×罗永浩！清醒、深刻、独一无二的造梦者
才华这件事终究是无法解释的。毕赣的成长很像是得到了一个艺术创作的火种，让他完全凭借直觉和自学形成了属于他的美学体系，而这些恰好能以诗一样的电影作为出口。但令人更加意外的是，他同时还兼具另一种才华——能将混沌的艺术理念和模糊的生命体验讲述清楚的能力。我谈到了很多在艺术上长久以来的困惑，他三言两语就让人豁然开朗。这一次，他在大银幕上带来了绵延一个世纪的梦境，又在这场超长的谈话中带来了“梦的解析”。
《罗永浩的十字路口》第十二期，我们和导演毕赣聊聊他的梦，他的艺术观和他的狂野时代。#毕赣给罗永浩讲明白了# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频",,无,"https://f.video.weibocdn.com/o0/EkOaUGmllx08tkp5dTgI0104120hzKM10E070.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200788&ssig=43oFGQAufA&KID=unistore,video",无,2025-11-28 13:00,微博视频号,3595,796,415
QfCaL7jOn,在这个极具电影感的场景中，侯孝贤对毕赣说了什么？11 月 27 日中午 12 点，听毕赣导演揭秘大师之间的对话。#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/EiytgdVplx08thaofaNq010412001RuQ0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200789&ssig=kbnsOwZqSR&KID=unistore,video",无,2025-11-26 13:00,微博视频号,1071,32,129
QfBYAdSBz,这是一个令人动容的故事，讲述那些温暖的人如何因为电影而被联系在一起。11 月 27 日中午 12 点，听毕赣导演聊聊，为什么这是他录音师“最美好的回忆”。#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Ok9ZvVpTlx08thafz0be010412003gaV0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200789&ssig=rOKt4YB2Zq&KID=unistore,video",无,2025-11-26 12:30,微博视频号,819,48,65
QfBMpdQbM,访谈过程里，我一直在不厌其烦地啰嗦相似的话，但这都是发自内心的和下意识的。11 月 27 日中午 12 点，看完节目之后你会明白为什么毕赣导演让我如此激动。#毕赣给罗永浩讲明白了# #狂野时代# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/lMZH9X9Hlx08thaabRIc010412002kqf0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200790&ssig=YlGzwnB9Aa&KID=unistore,video",无,2025-11-26 12:00,微博视频号,953,84,80
